Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,36.220928,36.250000,35.862404,36.191860,22.730726,1684327
2014-01-03,36.269379,36.637596,36.259689,36.560078,22.961994,1269876
2014-01-06,36.792637,36.870155,36.443798,36.753876,23.083721,1957291
2014-01-07,37.093021,37.160854,36.753876,36.937984,23.199339,2088768
2014-01-08,36.937984,36.957363,36.346897,36.511627,22.931561,1867610
2014-01-09,36.521317,36.647285,36.143410,36.608528,22.992422,1553986
2014-01-10,36.705425,37.461239,36.540699,37.364342,23.467131,2511578
2014-01-13,37.335270,37.451550,36.967052,37.102715,23.302807,1555327
2014-01-14,37.180233,37.625969,37.102715,37.490311,23.546238,1346141
2014-01-15,37.635658,37.790699,37.490311,37.567829,23.594923,1411054
2014-01-16,37.412792,37.548450,37.238373,37.364342,23.467131,2201462
2014-01-17,37.364342,37.441860,37.151161,37.218990,23.375837,1332622
2014-01-21,37.277130,38.081394,37.277130,38.081394,23.917490,1665132
2014-01-22,38.236435,38.546513,37.916668,38.313953,24.063538,2411578
2014-01-23,38.313953,38.352715,38.052326,38.313953,24.063538,1937064
2014-01-24,38.265503,38.439922,38.032948,38.313953,24.063538,1944598
2014-01-27,38.410854,38.682171,38.187984,38.439922,24.142654,2569370
2014-01-28,38.498062,39.341084,38.498062,39.292637,24.678226,3227167
2014-01-29,39.050388,39.341084,38.963177,39.282948,24.672129,2082473
2014-01-30,39.244186,39.680233,39.079456,39.505814,24.923998,1875660
2014-01-31,39.215115,39.728683,38.982559,39.515503,24.930115,1956672
2014-02-03,39.534885,39.554264,38.372093,38.488373,24.282095,3438727
2014-02-04,38.468990,38.750000,38.042637,38.682171,24.404358,2670816
2014-02-05,38.653103,38.992249,38.517441,38.924419,24.557194,1557804
2014-02-06,38.934109,39.234497,38.740311,39.001938,24.606108,1561519
2014-02-07,39.069767,39.331394,38.895348,39.302326,24.795607,1454088
2014-02-10,39.350777,39.815891,38.963177,39.718990,25.058485,1498361
2014-02-11,39.709301,39.951550,39.486435,39.748062,25.076818,1316522
2014-02-12,39.835270,40.000000,39.573643,39.912792,25.180763,1726020
2014-02-13,39.912792,40.397285,39.728683,40.193798,25.358038,1515905
2014-02-14,40.184109,40.620155,40.135658,40.426357,25.504766,1766784
2014-02-18,40.736435,41.172482,40.077518,41.114342,25.938793,2726544
2014-02-19,41.036823,41.802326,40.949612,41.269379,26.036619,2817360
2014-02-20,41.414730,41.967052,41.298450,41.579456,26.232235,2442847
2014-02-21,41.676357,42.170544,41.569767,42.063953,26.537905,2200534
2014-02-24,42.063953,42.887596,42.054264,42.558140,26.849689,3294660
2014-02-25,42.713177,43.711239,42.655041,43.023254,27.143127,3810350
2014-02-26,43.023254,43.129845,42.674419,43.120155,27.204269,2373910
2014-02-27,42.451550,43.149223,42.403103,43.042637,27.266870,2245426
2014-02-28,43.042637,43.488373,42.955425,43.042637,27.266870,3126960
2014-03-03,42.906979,43.013565,42.393410,42.684109,27.039745,1855226
2014-03-04,42.781010,43.197674,42.693798,42.955425,27.211622,1526431
2014-03-05,42.936047,43.100777,42.180233,42.296513,26.794209,1673491
2014-03-06,42.267441,42.422482,41.395348,41.424419,26.241760,3120562
2014-03-07,41.191860,41.288761,40.000000,40.300388,25.529715,3701887
2014-03-10,39.767441,40.203487,39.641472,40.155041,25.437614,2624995
2014-03-11,40.300388,40.765503,40.281010,40.571705,25.701563,2310545
2014-03-12,40.649223,40.939922,40.610466,40.823643,25.861168,2114671
2014-03-13,40.833332,41.143410,40.629845,41.007751,25.977804,2120450
2014-03-14,40.901161,41.405041,40.901161,41.007751,25.977804,1480198
2014-03-17,41.201550,41.463177,40.959301,41.124031,26.051460,2741302
2014-03-18,41.017441,41.085270,40.726746,40.949612,25.940964,1755122
2014-03-19,40.804264,41.162792,39.544575,39.641472,25.112293,2502187
2014-03-20,39.631783,39.660854,39.060078,39.467052,25.001797,2403734
2014-03-21,39.593021,40.067829,39.360466,39.825581,25.228912,3598894
2014-03-24,39.980621,40.193798,38.992249,39.505814,25.026340,2246664
2014-03-25,39.815891,40.155041,39.486435,39.970928,25.320992,1127047
2014-03-26,40.087208,40.145348,39.505814,39.515503,25.032488,1651716
2014-03-27,38.498062,39.534885,38.391472,39.534885,25.044773,18520788
2014-03-28,39.350777,39.602715,39.195736,39.486435,25.126167,3779184
2014-03-31,39.563953,39.728683,39.060078,39.593021,25.193977,3012305
2014-04-01,39.651161,39.680233,38.963177,39.273254,24.990498,2654510
2014-04-02,39.244186,39.728683,39.147285,39.447674,25.101486,2661425
2014-04-03,39.428295,39.437984,38.972870,39.147285,24.910345,1807961
2014-04-04,39.321705,39.680233,39.098839,39.476746,25.119987,2537791
2014-04-07,39.467052,40.484497,39.389534,40.222870,25.594767,3693425
2014-04-08,39.825581,40.668606,39.806202,40.620155,25.847563,2974224
2014-04-09,40.629845,40.930233,40.164730,40.513565,25.779745,2477522
2014-04-10,40.542637,40.901161,39.854652,40.038761,25.477627,1705070
2014-04-11,39.883720,40.290699,39.815891,40.145348,25.545422,2221793
2014-04-14,40.251938,40.426357,39.941860,40.145348,25.545422,1827156
2014-04-15,40.251938,41.337208,40.145348,41.250000,26.248356,2884440
2014-04-16,41.366280,41.521317,40.949612,41.453487,26.377832,1996920
2014-04-17,41.453487,41.453487,40.445736,40.591084,25.829067,2112814
2014-04-21,40.620155,40.852715,40.426357,40.629845,25.853746,1304242
2014-04-22,40.784885,41.162792,40.600777,41.104652,26.155865,1828188
2014-04-23,41.075581,41.220928,40.833332,40.968990,26.069540,1152950
2014-04-24,41.036823,41.511627,40.939922,41.414730,26.353172,1508165
2014-04-25,41.327518,41.763565,41.308140,41.560078,26.445662,2224682
2014-04-28,41.647285,42.344959,41.598839,42.228683,26.871111,2647286
2014-04-29,42.073643,42.199612,41.802326,42.054264,26.872355,1977002
2014-04-30,42.063953,42.199612,41.695736,42.102715,26.903318,2639134
2014-05-01,42.257751,42.267441,41.220928,41.870155,26.754707,2061523
2014-05-02,41.569767,41.947674,41.317829,41.870155,26.754707,2146560
2014-05-05,41.647285,42.286823,41.463177,42.170544,26.946638,1550477
2014-05-06,42.122093,42.122093,41.792637,41.947674,26.804243,2262041
2014-05-07,41.928295,42.868217,41.860466,42.839146,27.373878,2229430
2014-05-08,42.829456,42.965115,42.500000,42.625969,27.237671,1824060
2014-05-09,42.596897,42.781010,42.189922,42.422482,27.107635,1709818
2014-05-12,42.596897,43.100777,42.529072,42.713177,27.293392,2432114
2014-05-13,42.761627,43.081394,42.160854,42.325581,27.045696,1580198
2014-05-14,42.354652,42.635658,41.937984,42.248062,26.996183,1452643
2014-05-15,42.034885,42.199612,41.560078,41.841084,26.736130,2388874
2014-05-16,41.773254,42.519379,41.666668,42.519379,27.169558,1487318
2014-05-19,42.383720,42.529072,42.131783,42.315891,27.039534,1214767
